organization_key,offer_internal_name,volume_type,volume_type1,volume_creation_date,nb_volumes,storage_size
23835c74-17fa-4edf-9791-94dbe9c12cb6,GP1-S,b_ssd,volume_storage,2022-01-01 00:00,3,1274
74847236-be16-4439-b97f-08fa5e8cab10,GP1-S,b_ssd,volume_storage,2021-11-01 00:00,23,"1273,055225"
669ccf6f-a131-4a99-b23a-677f7ca7fa04,GP1-XS,b_ssd,volume_storage,2021-03-01 00:00,3,"1260,719347"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,l_ssd,utility disk,2021-12-01 00:00,9,"1257,285476"
1bae430a-82e5-4f90-abcf-d6aa58f00def,GP1-XS,l_ssd,utility disk,2022-11-01 00:00,9,"1257,285476"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,l_ssd,utility disk,2022-06-01 00:00,9,"1257,285476"
1f0161ec-4cb6-4798-9917-42e495281c80,GP1-XS,l_ssd,utility disk,2023-02-01 00:00,9,"1257,285476"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,b_ssd,volume_storage,2022-06-01 00:00,24,1249
26ce1c0e-8234-4e06-a820-6c98dfd217cc,GP1-XS,b_ssd,volume_storage,2021-04-01 00:00,3,1200
e41591d7-276f-445c-848b-f018e8ae49b2,GP1-M,b_ssd,volume_storage,2022-11-01 00:00,4,1200
e1c3f92c-3d01-4cde-ad8d-e7241c9353d5,PRO2-XS,b_ssd,volume_storage,2022-11-01 00:00,12,1200
4962e820-a16b-4ec8-8574-8b3fdacbf5b8,GP1-S,b_ssd,volume_storage,2021-09-01 00:00,7,1184
926fe225-7dfa-496a-9461-5600ce6dbcb2,PRO2-L,b_ssd,volume_storage,2023-02-01 00:00,21,1170
e5a089dd-a226-4276-80c3-1b139d938b99,DEV1-XL,b_ssd,volume_storage,2022-10-01 00:00,8,1160
26fecc3d-3288-43fd-a6b3-a1eaacc34c70,GP1-M,b_ssd,volume_storage,2023-02-01 00:00,4,1150
a24feb5c-9b79-4a39-b519-f9976e118e50,GP1-S,b_ssd,volume_storage,2021-11-01 00:00,65,1127
